Building Name,Address,URL,Type,Completion,Title,No. of Floors,Passenger Lift,Cargo Lift,Car Park,Loading Area,Cargo,Management Fee (Approx. per sq. ft.),Ceiling Height(Approx.),Floor Remark,Air Conditioning,Transport,Management Company,Air Conditioning Opening Times,Total Area,Grade,Raised Floor
North Cape Commercial Building,388 King's Road,https://www.midlandici.com.hk/ics/property/building/details/B000007478/North-Cape-Commercial-Building?lang=english,Commercial,1991,Spin-Off,23,2,,,,,"@1.30
            (Information: Year 2015)",,"平地入口
G/F - 23/F x 2",Split,"Close to Ferry Pier, Tram, Bus and Minibus",PERMPRIME PROPERTY MANAGEMENT CO LTD*,,,B,
North Point Asia-pac Commercial Centre,10 North Point Road,https://www.midlandici.com.hk/ics/property/building/details/B000022207/North-Point-Asia-pac-Commercial-Centre?lang=english,Commercial,1999,Unified,23,2,1,,,,"@3.30
            (Information: Year 2019)",,"上四級樓梯
G/F - 27/F x 2",Split,,A G WILKINSON PROPERTY MANAGEMENT L*,,,B,
Olympia Plaza,255 King's Road,https://www.midlandici.com.hk/ics/property/building/details/B000022258/Olympia-Plaza?lang=english,Commercial,1999,Unified,14,3,1,,,,"@6.30
            (Information: Year 2021)",,"上扶手電梯
3/F - 7/F x 2
3/F & 8/F - 27/F x 3",Central,"Close to North Point MTR Station, Tram, Bus and Minibus",KAMLEY MANAGEMENT CO LTD,Monday To Friday 08:30 - 18:00Saturday 08:30 - 13:00Sunday  -,,A,
Park Commercial Centre,180 Tung Lo Wan Road,https://www.midlandici.com.hk/ics/property/building/details/B000059839/Park-Commercial-Centre?lang=english,Commercial,2002,Spin-Off,23,3,,,,,"@3.50
            (Information: Year 2024)",,"上二級樓梯
+上扶手電梯
1/F - 22/F x 3",Split,,SPEEDY MANAGEMENT LTD*,,,B,
Parkview Centre,7 Lau Li Street,https://www.midlandici.com.hk/ics/property/building/details/B000022495/Parkview-Centre?lang=english,Commercial,1999,Unified,26,2,,,,,"@3.20
            (Information: Year 2020)",,"平地入口
G/F - 30/F x 2",Split,,TO BE CONFIRM*,,,B,
Seabright Plaza,9-23 Shell Street,https://www.midlandici.com.hk/ics/property/building/details/B000023060/Seabright-Plaza?lang=english,Commercial,1992,Spin-Off,28,4,,,,,,,"平地入口
G/F - 28/F x 4",Central,"Close to MTR Station, Tram, Bus and Minibus",YUE XIU PROPERTY MGT. LTD.*,Monday To Friday 08:30 - 18:30Saturday 08:30 - 13:00Sunday  -,,B,
Sup Tower,75-83 King's Road,https://www.midlandici.com.hk/ics/property/building/details/B000022938/Sup-Tower?lang=english,Commercial,1993,Spin-Off,29,3,1,,,,"@3.77
            (Information: Year 2015)",,"平地入口
G/F - 28/F x 4",Central,"Close to Fortress Hill MTR Station, Bus and Mini Bus",CITY PROPERTY MGT (HK) LTD*,Monday To Friday 08:00 - 18:00Saturday 08:00 - 14:00Sunday  -,,B,
Supreme Commercial Building,368 King's Road,https://www.midlandici.com.hk/ics/property/building/details/B000008322/Supreme-Commercial-Building?lang=english,Commercial,1995,Spin-Off,23,2,,,,,"@2.64
            (Information: Year 2015)",,"平地入口
G/F - 26/F x 2",Split,,SKY PACIFIC PROPERTY CONSULTANTS LT*,,,B,
Two Chinachem Exchange Square,338 King's Road,https://www.midlandici.com.hk/ics/property/building/details/B000059860/Two-Chinachem-Exchange-Square?lang=english,Commercial,1997,Unified,30,3,1,,,,"@5.30
            (Information: Year 2024)",2.4M (8ft),"G/F - 26/F X 2 
上扶手電梯",Central,Close to North Point MTR Station,TOGETHER MANAGEMENT COMPANY LTD*,Monday To Friday 08:30 - 18:00Saturday 08:30 - 13:30Sunday  -,,B,
Union Park Tower,168 Electric Road,https://www.midlandici.com.hk/ics/property/building/details/B000053035/Union-Park-Tower?lang=english,Commercial,1996,Unified,24,2,,,,,"@2.50
            (Information: Year 2015)",,"平地入口
G/F - 24/F x 2",Split,"Close to Fortress Hill MTR Station, Bus and Minibus",CHINA REAL ESTATE APPRAISAL MANAGEMENT LTD*,,,B,
Wellborne Commercial Centre,8 Java Road,https://www.midlandici.com.hk/ics/property/building/details/B000024817/Wellborne-Commercial-Centre?lang=english,Commercial,1993,Spin-Off,23,4,,,,,"@1.40
            (Information: Year 2015)","Ground Floor: 15ft 9in
3rd Floor to 23th Floor: 10ft 4in","平地入口
G/F - 23/F x 4",Split,,HANG YICK PROPERTY MGT LTD*,,,B,
Workingberg Commerical Building,41-47 Marble Road,https://www.midlandici.com.hk/ics/property/building/details/B000007596/Workingberg-Commerical-Building?lang=english,Commercial,1992,Spin-Off,24,2,,,,,"@3.10
            (Information: Year 2024)",,,Split,,,,,B,
26 Nathan Road,26 Nathan Road,https://www.midlandici.com.hk/ics/property/building/details/B000022389/26-Nathan-Road?lang=english,Commercial,1998,Unified,29,3,1,,,,"@9.40
            (Information: Year 2024)",,"Not including Basement and Ground Floor 
            
               * 24/F Omitted",Central,,Hong Yip Service Company Limited,Monday To Friday 08:30 - 18:30Saturday 08:30 - 13:30Sunday  -,,A,
33 Argyle Street,33 Argyle Street,https://www.midlandici.com.hk/ics/property/building/details/B000056062/33-Argyle-Street?lang=english,Commercial,1976,Unified,20,2,,,,,"@5
            (Information: Year 2016)",,"Not including Ground Floor, Mezzanine Floor and Penthouse",Central,,Equal Property Management Limited,Monday To Friday 08:30 - 18:30Saturday 08:30 - 18:30Sunday  -,"Approx. 43,843 sq.ft.",B,
8 Hart Avenue,8 Hart Avenue,https://www.midlandici.com.hk/ics/property/building/details/B000022194/8-Hart-Avenue?lang=english,Commercial,1997,Spin-Off,29,3,1,,,,"@4.83
            (Information: Year 2019)",3.4M-4.9M,"Not including Basement and Ground Floor 
            
               * 4/F, 14/F and 24/F Omitted",Split,,JONES LANG LASALLLE MGT SERVICE LTD,,,B,
8 Observatory Road,8 Observatory Road,https://www.midlandici.com.hk/ics/property/building/details/B000081559/8-Observatory-Road?lang=english,Commercial,2015,Spin-Off,18,3,1,,,,"@6.20
            (Information: Year 2022)",16ft,"Not including Basement Level 1, Basement Level 2, Basement Level 3, Ground Floor, Roof and Upper Roof *
            
              *  * 4/F, 13/F and 14/F Omitted",Central,"Close to Tsim Sha Tsui East MTR Station, Bus and Minibus",Jones Lang Lasalle Management Services Ltd,Monday To Friday 08:30 - 18:30Saturday 08:30 - 13:30Sunday  -,,A,
Argyle Centre,688 Nathan Road,https://www.midlandici.com.hk/ics/property/building/details/B000006978/Argyle-Centre?lang=english,Commercial,1982,Spin-Off,22,6,1,,,,"@3.90
            (Information: Year 2021)",7.5 ft,"Not including Basement, Ground Floor and Roof",Central,,Sino Estates Management Limited,Monday To Friday 08:00 - 19:00Saturday 08:00 - 14:00Sunday  -,"Approx. 200,000 sq.ft.",B,
Astoria Building,34 Ashley Road,https://www.midlandici.com.hk/ics/property/building/details/B000018124/Astoria-Building?lang=english,Commercial,1973,Spin-Off,18,,,,,,"@1.87
            (Information: Year 2018)",,Not including Basement and Ground Floor,Split,,港置物業管理,,,B,
Austin Commercial Centre,4 Austin Avenue,https://www.midlandici.com.hk/ics/property/building/details/B000018131/Austin-Commercial-Centre?lang=english,Commercial,1993,Spin-Off,19,2,,,,,"@3.21
            (Information: Year 2017)",,"Not including Ground Floor and Mechanical Floor 
            
               * 4/F and 14/F Omitted",Split,,,,,B,
Austin Tower,22-26 Austin Avenue,https://www.midlandici.com.hk/ics/property/building/details/B000081909/Austin-Tower?lang=english,Commercial,1982,Spin-Off,22,5,1,,,,"@5.30
            (Information: Year 2020)",,"Not including Basement Level 3, Basement Level 2, Basement Level 1, Lower Ground Floor, Upper Ground Floor and Roof",Central,,JONES LANG LASALLLE MGT SERVICE LTD,Monday To Friday 09:00 - 19:00Saturday 09:00 - 19:00Sunday  -,"Approx. 164,500 sq.ft.",B,
Bcc Building,25-31 Carnarvon Road,https://www.midlandici.com.hk/ics/property/building/details/B000018167/Bcc-Building?lang=english,Commercial,1976,Spin-Off,17,3,,,,,"@1.40
            (Information: Year 2017)",,Not including Ground Floor and Basement,Split,MTR,JONES LANG LASALLLE MGT SERVICE LTD,,"Approx. 59,437 sq.ft.",B,
Best-o-best Commercial Centre,32-36 Ferry Street,https://www.midlandici.com.hk/ics/property/building/details/B000018202/Best-o-best-Commercial-Centre?lang=english,Commercial,1990,Spin-Off,18,2,,,,,"@3.10
            (Information: Year 2018)",,"Not including Ground Floor 
            
               * 13/F and 14/F Omitted",Central,,,Monday To Friday 08:00 - 18:30Saturday 08:00 - 13:30Sunday  -,,B,
Beverley Commercial Centre,87-105 Chatham Road South,https://www.midlandici.com.hk/ics/property/building/details/B000018206/Beverley-Commercial-Centre?lang=english,Commercial,1982,Spin-Off,20,3,1,,,,"@2.78
            (Information: Year 2019)",,Not including Basement and Ground Floor,Split,,Hang Yick Property Management Limited,,,B,
Boc Mongkok Commercial Centre,589 Nathan Road,https://www.midlandici.com.hk/ics/property/building/details/B000020970/Boc-Mongkok-Commercial-Centre?lang=english,Commercial,1981,Unified,22,2,,,,,"@1.70
            (Information: Year 2016)",,Not including Basement and Ground Floor,Central,,Guardian Property Management Limited,,,B,
Boss Commercial Centre,28 Ferry Street,https://www.midlandici.com.hk/ics/property/building/details/B000018245/Boss-Commercial-Centre?lang=english,Commercial,1995,Spin-Off,21,3,,,,,"@1.90
            (Information: Year 2014)",,Not including Ground Floor,Split,,Hang Yick Properties Management Ltd,,,B,
Bright Way Tower,33 Mongkok Road,https://www.midlandici.com.hk/ics/property/building/details/B000007330/Bright-Way-Tower?lang=english,Commercial,1992,Spin-Off,22,2,,,,,"@2.58
            (Information: Year 2019)",,Not including Ground Floor,Central,,,Monday To Friday 09:30 - 19:30Saturday 09:30 - 19:30Sunday  -,,B,
Century House,3-4 Hanoi Road,https://www.midlandici.com.hk/ics/property/building/details/B000018373/Century-House?lang=english,Commercial,1981,Spin-Off,18,2,,,,,"@2.60
            (Information: Year 2016)",,"Not including Basement, Ground Floor and Penthouse",Split,"Close to Tsim Sha Tsui MTR Station, Ferry, Bus and Minibus",益新物業管理,,,B,
Cfc Tower,22-28 Mody Road,https://www.midlandici.com.hk/ics/property/building/details/B000018376/Cfc-Tower?lang=english,Commercial,1994,Spin-Off,20,3,,,,,"@3.08
            (Information: Year 2017)",,"Not including Ground Floor *
            
              *  4/F, 13/F and 14/F Omitted",Central,"Close to Tsim Sha Tsui East MTR Station, Bus and Minibus",DTZ Debenham Tie Leung Property Management Ltd,Monday To Friday 08:00 - 22:00Saturday 08:00 - 22:00Sunday 08:00 - 22:00,,B,
Champion Building,301-309 Nathan Road,https://www.midlandici.com.hk/ics/property/building/details/B000052953/Champion-Building?lang=english,Commercial,1977,Spin-Off,17,4,,,,,"@2.90
            (Information: Year 2018)",,"G/F & 4/F - 21/F X 1 (EVEN)
G/F & 5/F - 21/F X 1 (ODD)
平地入口",Split,,,,,B,
Cheuk Nang Centre,9-11a Hillwood Road,https://www.midlandici.com.hk/ics/property/building/details/B000018482/Cheuk-Nang-Centre?lang=english,Commercial,1993,Spin-Off,20,2,,,,,"@3.32
            (Information: Year 2019)","Ground Floor: 14ft 9in
1st Floor: 14ft 9in
2nd Floor to 19th Floor: 12ft 7in
20th Floor: 16ft","Not including Ground Floor *
            
              * 13/F Omitted",Split,Close to MTR Station,Memfus Wong Surveyors (Property Management) Ltd,,,B,
Cheung Lee Commercial Building,25 Kimberley Road,https://www.midlandici.com.hk/ics/property/building/details/B000018520/Cheung-Lee-Commercial-Building?lang=english,Commercial,1979,Spin-Off,18,2,,,,,"@1.78
            (Information: Year 2024)",,Not including Basement and Ground Floor,Split,"Close to Tsim Sha Tsui  MTR Station, Bus and Minibus",Yoshiya Property Management Ltd,,,B,
Chevalier House,45-51 Chatham Road South,https://www.midlandici.com.hk/ics/property/building/details/B000018570/Chevalier-House?lang=english,Commercial,1982,Spin-Off,18,3,,,,,"@3.92
            (Information: Year 2018)",,Not including Basement and Ground Floor,Central,,JONES LANG LASALLLE MGT SERVICE LTD,Monday To Friday 08:00 - 20:00Saturday 08:00 - 20:00Sunday  -,,B,
China Hong Kong City Tower 1,33 Canton Road,https://www.midlandici.com.hk/ics/property/building/details/B000061846/China-Hong-Kong-City-Tower-1?lang=english,Commercial,1988,Unified,13,4,1,,,,"@8.94
            (Information: Year 2023)",,"Not including 2nd Basement, 1st Basement, L1 Lower, L1 Upper and Promenade Level (L5)",Central,,中港城物業管理,Monday To Friday 08:30 - 19:00Saturday 08:30 - 14:00Sunday  -,,A,
China Hong Kong City Tower 2,33 Canton Road,https://www.midlandici.com.hk/ics/property/building/details/B000061847/China-Hong-Kong-City-Tower-2?lang=english,Commercial,1988,Unified,13,4,1,,,,"@8.94
            (Information: Year 2023)",,"Not including 2nd Basement, 1st Basement, L1 Lower, L1 Upper and Promenade Level (L5)",Central,,中港城物業管理,Monday To Friday 08:30 - 19:00Saturday 08:30 - 14:00Sunday  -,,A,
China Hong Kong City Tower 3,33 Canton Road,https://www.midlandici.com.hk/ics/property/building/details/B000061848/China-Hong-Kong-City-Tower-3?lang=english,Commercial,1988,Unified,13,8,1,,,,"@8.94
            (Information: Year 2023)",,"Not including 2nd Basement, 1st Basement, L1 Lower, L1 Upper and Promenade Level (L5)",Central,,中港城物業管理,Monday To Friday 08:30 - 19:00Saturday 08:30 - 14:00Sunday  -,,A,
China Hong Kong City Tower 5,33 Canton Road,https://www.midlandici.com.hk/ics/property/building/details/B000061849/China-Hong-Kong-City-Tower-5?lang=english,Commercial,1988,Unified,13,4,1,,,,"@8.94
            (Information: Year 2023)",,"Not including 2nd Basement, 1st Basement, L1 Lower, L1 Upper and Promenade Level (L5)",Central,,中港城物業管理,Monday To Friday 08:30 - 19:00Saturday 08:30 - 14:00Sunday  -,,A,
China Hong Kong City Tower 6,33 Canton Road,https://www.midlandici.com.hk/ics/property/building/details/B000061850/China-Hong-Kong-City-Tower-6?lang=english,Commercial,1988,Unified,13,4,1,,,,"@8.94
            (Information: Year 2023)",,"Not including 2nd Basement, 1st Basement, L1 Lower, L1 Upper and Promenade Level (L5)",Central,,中港城物業管理,Monday To Friday 08:30 - 19:00Saturday 08:30 - 14:00Sunday  -,,A,
Chinachem Golden Plaza,77 Mody Road,https://www.midlandici.com.hk/ics/property/building/details/B000062493/Chinachem-Golden-Plaza?lang=english,Commercial,1988,Unified,20,9,1,,,,"@5.10
            (Information: Year 2025)",2.25-2.73,"Not including 5th Basement, 4th Basement, 3rd  Basement, 2nd Basement, 1st Basement and Ground Floor",Central,,十全保安 / 停車場管理:威信98693729,Monday To Friday 08:30 - 18:00Saturday 08:30 - 13:30Sunday  -,,A,
Concordia Plaza,1 Science Museum Road,https://www.midlandici.com.hk/ics/property/building/details/B000018865/Concordia-Plaza?lang=english,Commercial,1994,Spin-Off,28,14,2,,,,"@4.99
            (Information: Year 2024)",3.4m-,"Not including Lower Basement Floor, Upper Basement Floor and Ground Floor 
            
               * 13/F, 14/F and 24/F Omitted",Central,MTR,CITYBASE PROPERTY MANAGEMENT LIMITED*,Monday To Friday 08:00 - 19:00Saturday 08:00 - 14:00Sunday  -,,A,
East Ocean Centre,98 Granville Road,https://www.midlandici.com.hk/ics/property/building/details/B000007294/East-Ocean-Centre?lang=english,Commercial,1982,Spin-Off,16,6,2,,,,"@5.00
            (Information: Year 2022)",7.5 ft,"Not including Basement Level 2, Basement Level 1 and Ground Floor",Central,,永安警衛,Monday To Friday 08:30 - 18:00Saturday 08:30 - 13:00Sunday  -,"Approx. 300,000 sq.ft.",A,
Empire Centre,68 Mody Road,https://www.midlandici.com.hk/ics/property/building/details/B000019029/Empire-Centre?lang=english,Commercial,1981,Unified,16,5,1,,,,"@8.27
            (Information: Year 2023)",2.8m-,"Not including 2nd Basement, 1st Basement, Ground Floor and Mezzanine floor",Central,"Close to East Rail Line, Ferry and Bus",Sino Property Management Limited,Monday To Friday 08:00 - 18:00Saturday 08:00 - 13:00Sunday  -,,A,
Empress Plaza,17-19 Chatham Road South,https://www.midlandici.com.hk/ics/property/building/details/B000019030/Empress-Plaza?lang=english,Commercial,1994,Spin-Off,22,3,,,,,"@5.30
            (Information: Year 2023)",,Not including Basement and Ground Floor * 13/F and 14/F Omitted,Central,MTR,Savills Property Management Limited,Monday To Friday 08:00 - 18:00Saturday 08:00 - 14:00Sunday  -,"Approx. 70,000 sq.ft.",B,
Energy Plaza,92 Granville Road,https://www.midlandici.com.hk/ics/property/building/details/B000019032/Energy-Plaza?lang=english,Commercial,1983,Unified,16,4,1,,,,"@6.05
            (Information: Year 2024)",,"Not including 2nd Basement, 1st Basement, Lower Ground Floor, Ground Floor and Upper Ground",Central,,旭日,Monday To Friday 09:00 - 18:00Saturday 09:00 - 13:00Sunday  -,"Approx. 200,129 sq.ft.",A,
Eu Yan Sang Tower,11-15 Chatham Road South,https://www.midlandici.com.hk/ics/property/building/details/B000060702/Eu-Yan-Sang-Tower?lang=english,Commercial,1993,Spin-Off,20,2,,,,,"@3.43
            (Information: Year 2013)",,"Not including Ground Floor 
            
               * 4/F and 14/F Omitted",Central,"MTR, Ferry, Bus and Minibus",,Monday To Friday 08:30 - 22:30Saturday 08:30 - 22:30Sunday  -,,B,
Harbour Crystal Centre,100 Granville Road,https://www.midlandici.com.hk/ics/property/building/details/B000007295/Harbour-Crystal-Centre?lang=english,Commercial,1982,Spin-Off,13,3,1,,,,"@5.06
            (Information: Year 2024)",7.2 ft,"Not including Lower Basement Floor, Basement and Ground Floor",Central,"MTR, Bus and Minibus",DIAMOND PROPERTY MANAGEMENT CO LTD,Monday To Friday 09:00 - 18:00Saturday 09:00 - 13:00Sunday  -,"Approx. 176,000 sq.ft.",A,
Hermes Commercial Centre,4-4a Hillwood Road,https://www.midlandici.com.hk/ics/property/building/details/B000019801/Hermes-Commercial-Centre?lang=english,Commercial,1990,Spin-Off,17,2,,,,,"@3.60
            (Information: Year 2017)",,Not including Basement and Ground Floor,Central,Close to Jordon MTR Station and Bus,恆益物業,Monday To Friday 08:00 - 19:00Saturday 08:00 - 14:00Sunday  -,,B,
Hong Kong Pacific Centre,28 Hankow Road,https://www.midlandici.com.hk/ics/property/building/details/B000020055/Hong-Kong-Pacific-Centre?lang=english,Commercial,1991,Unified,19,5,1,,,,"@8.13
            (Information: Year 2024)","10""4'-","Not including Basement and Ground Floor 
            
              * 13/F Omitted",Central,"Close to Tsim Sha Tsui  MTR Station, Bus and Minibus",SINO,Monday To Friday 08:30 - 18:30Saturday 08:30 - 13:30Sunday  -,"Approx. 177,320 sq.ft.",B,
Houston Centre,63 Mody Road,https://www.midlandici.com.hk/ics/property/building/details/B000020143/Houston-Centre?lang=english,Commercial,1981,Spin-Off,16,6,2,,,,"@3.93
            (Information: Year 2024)",7.2 ft,"Not including Basement Level 2, Basement Level 1 and Ground Floor",Central,MTR and Bus,置邦 #246,Monday To Friday 08:00 - 19:00Saturday 08:00 - 15:00Sunday  -,"Approx. 230,000 sq.ft.",A,
Icc-international Commerce Centre,1 Austin Road West,https://www.midlandici.com.hk/ics/property/building/details/B000063541/Icc-international-Commerce-Centre?lang=english,Commercial,2010,Unified,118,6,1,,,,"@11.10
            (Information: Year 2024)",2850mm-,"Not including Basement 4, Basement 3, Basement 2, Basement 1, Ground, Upper Ground floor, M1-1, M1-2, M1-3, M1-5, M2-1, M2-2, M3-1, M3-2, M4-1, M4-2, M5, M6, R1, R2, R3 and R4 
            
               * 4/F-7/F, M1-4, 13/F, 14/F, 23/F, 24/F, 26/F, 28/F, 29/F, 33/F, 34/F, 43/F, 44/F, 53/F, 54/F, 63/F, 64/F, 73/F, 74/F, 83/F, 84/F, 93/F, 94/F, 104/F, 105/F and 114/F Omitted 
            
               * Refuge floor at R1, R2, R3 and R4",Central,,Kai Shing Management Services Limited,Monday To Friday 08:00 - 20:00Saturday 08:00 - 14:00Sunday  -,,A,
Inter-continental Plaza,94 Granville Road,https://www.midlandici.com.hk/ics/property/building/details/B000020247/Inter-continental-Plaza?lang=english,Commercial,1982,Spin-Off,15,4,1,,,,"@5.20
            (Information: Year 2016)",7.9 ft,"Not including Basement, Lower Ground Floor, Upper Ground Floor, Ground Floor and Roof",Central,"MTR, Train and Bus",JONES LANG LASALLLE MGT SERVICE LTD,Monday To Friday 08:00 - 18:00Saturday 08:00 - 14:00Sunday  -,"Approx. 99,900 sq.ft.",A,
Kaiseng Commercial Centre,4-6 Hankow Road,https://www.midlandici.com.hk/ics/property/building/details/B000020428/Kaiseng-Commercial-Centre?lang=english,Commercial,1985,Spin-Off,18,2,,,,,"@4.21
            (Information: Year 2016)",,Not including Basement and Ground Floor,Central,,Iss Adams Secuforce Limited,Monday To Friday 08:30 - 18:30Saturday 08:30 - 13:30Sunday  -,,B,
Kee Shing Centre,74-76 Kimberley Road,https://www.midlandici.com.hk/ics/property/building/details/B000020600/Kee-Shing-Centre?lang=english,Commercial,1983,Spin-Off,18,2,,,,,"@4.06
            (Information: Year 2021)",,Not including Lower Ground Floor and Ground Floor,Central,"MTR, Ferry and Bus",JONES LANG LASALLLE MGT SERVICE LTD,Monday To Friday 07:30 - 20:30Saturday 07:30 - 18:00Sunday  -,,B,
Kelly Commercial Centre,570-572 Nathan Road,https://www.midlandici.com.hk/ics/property/building/details/B000006951/Kelly-Commercial-Centre?lang=english,Commercial,1975,Spin-Off,22,2,,,,,"@2.33
            (Information: Year 2019)",,Not including Basement and Ground Floor,Split,,Cogent Property Services Ltd.,,,B,
Kimberley House,35-35a Kimberley Road,https://www.midlandici.com.hk/ics/property/building/details/B000020662/Kimberley-House?lang=english,Commercial,1977,Spin-Off,17,2,,,,,"@2.40
            (Information: Year 2016)",,"Not including Basement and Ground Floor 
            
              *  14/F Omitted",Split,Close to Tsim Sha Tsui MTR Station and Bus,日訊物業管理,,,B,
Knutsford Commercial Building,4-5 Knutsford Terrace,https://www.midlandici.com.hk/ics/property/building/details/B000020808/Knutsford-Commercial-Building?lang=english,Commercial,1990,Spin-Off,14,2,,,,,"@2.20
            (Information: Year 2018)",2.95m-,Not including Ground Floor,Split,,Hong Yip Service Company Limited,,,B,
Koon Fook Centre,9 Knutsford Terrace,https://www.midlandici.com.hk/ics/property/building/details/B000020842/Koon-Fook-Centre?lang=english,Commercial,1992,Spin-Off,14,2,,,,,"@2.00
            (Information: Year 2016)",,Not including Ground Floor,Split,,Pacific Rich Management & Consultants Limited,,,B,
Kowloon Centre,29-39 Ashley Road,https://www.midlandici.com.hk/ics/property/building/details/B000020868/Kowloon-Centre?lang=english,Commercial,1973,Spin-Off,17,4,1,,,,"@3.85
            (Information: Year 2018)",,"Not including Basement, Ground Floor and Roof",Central,,佳定物業管理,Monday To Friday 08:00 - 18:30Saturday 08:00 - 18:30Sunday  -,,B,
Kundamal House,4 Prat Avenue,https://www.midlandici.com.hk/ics/property/building/details/B000020902/Kundamal-House?lang=english,Commercial,1981,Spin-Off,17,2,,,,,"@2.05
            (Information: Year 2016)",,Not including Lower Ground Floor and Upper Ground,Split,,JONES LANG LASALLLE MGT SERVICE LTD,,,B,
Langham Place,8 Argyle Street,https://www.midlandici.com.hk/ics/property/building/details/B000062592/Langham-Place?lang=english,Commercial,2004,Spin-Off,58,16,1,,,,"@6.76
            (Information: Year 2023)",8.5 ft,"Not including Basement Level 3 to Basement Level 5, Basement Level 1 and Basement Level 2, Level R1 to Level R3 and Level UR1 to UR3 Floors 
            
               * Level 4, office Level 13, Level 14, Level 24, Level 34, Level 44 and Level 58 Floor Omitted 
            
               * Refuge Floor at Level 47(R) Floor and Level 20(R) Floor",Central,,The Great Eagle Properties Management Co Ltd.,Monday To Friday 08:30 - 19:30Saturday 08:30 - 14:30Sunday  -,"Approx. 709,000 sq.ft.",A,
Le Diamant,703-705 Nathan Road,https://www.midlandici.com.hk/ics/property/building/details/B000078690/Le-Diamant?lang=english,Shop,2013,Spin-Off,17,2,,,,,"@4.80
            (Information: Year 2016)",,"Not including Ground Floor, Roof and Upper Roof
            
               *Refuge Floor at 7/F",Split,MTR,JONES LANG LASALLLE MGT SERVICE LTD,,,A,
Lippo Sun Plaza,28 Canton Road,https://www.midlandici.com.hk/ics/property/building/details/B000021343/Lippo-Sun-Plaza?lang=english,Commercial,1988,Spin-Off,19,4,1,,,,"@4.65
            (Information: Year 2022)",7.5 ft,"Not including Basement Level 2, Basement Level 1, Upper Ground Floor and Ground Floor",Central,MTR,JONES LANG LASALLLE MGT SERVICE LTD,Monday To Friday 08:30 - 19:00Saturday 08:30 - 14:00Sunday  -,"Approx. 336,000 sq.ft.",A,
Mass Resources Development Building,12 Humphreys Avenue,https://www.midlandici.com.hk/ics/property/building/details/B000021783/Mass-Resources-Development-Building?lang=english,Commercial,1994,Spin-Off,18,3,,,,,"@3.10
            (Information: Year 2019)","10'4""-14'9""","Not including Ground Floor *
            
              *  14/F Omitted",Split,Close to Tsim Sha Tsui MTR Station,建業,,"Approx. 56,250 sq.ft.",B,
Maxwell Centre,39-41 Hankow Road,https://www.midlandici.com.hk/ics/property/building/details/B000020248/Maxwell-Centre?lang=english,Commercial,1984,Spin-Off,17,2,,,,,"@2.80
            (Information: Year 2018)",,Not including Basement and Ground Floor,Split,,JONES LANG LASALLLE MGT SERVICE LTD,,,B,
Metropole Building,57 Peking Road,https://www.midlandici.com.hk/ics/property/building/details/B000007161/Metropole-Building?lang=english,Commercial,1966,Spin-Off,17,2,,,,,"@1.90
            (Information: Year 2019)",,Not including Basement and Ground Floor,Split,,富士物業管理,,,B,
Mira Place,132-134 Nathan Road,https://www.midlandici.com.hk/ics/property/building/details/B000021933/Mira-Place?lang=english,Commercial,1993,Unified,27,14,4,,,,"@8.80
            (Information: Year 2025)",11.5'-,It has fibre optic cables (光纖系統),Central,,恆基兆業,Monday To Friday 08:30 - 19:30Saturday 08:30 - 14:30Sunday  -,,A,
Mirror Tower,61 Mody Road,https://www.midlandici.com.hk/ics/property/building/details/B000021935/Mirror-Tower?lang=english,Commercial,1982,Unified,16,6,1,,,,"@6.19
            (Information: Year 2023)",,"Not including 2nd Basement, 1st Basement and Ground Floor",Central,,安民警衛,Monday To Friday 08:00 - 18:00Saturday 08:00 - 14:00Sunday  -,,A,
Multifield Plaza,3 Prat Avenue,https://www.midlandici.com.hk/ics/property/building/details/B000022003/Multifield-Plaza?lang=english,Commercial,1994,Spin-Off,22,4,1,,,,"@4.16
            (Information: Year 2021)",3.15m-,"Not including Ground Floor 
            
               * 4/F and 14/F omitted",Central,,Multifield Property Management Ltd,Monday To Friday 08:30 - 18:30Saturday 08:30 - 13:30Sunday  -,"Approx. 105,100 sq.ft.",B,
Nathan Centre,580g-580k Nathan Road,https://www.midlandici.com.hk/ics/property/building/details/B000006952/Nathan-Centre?lang=english,Commercial,1982,Spin-Off,25,2,1,,,,"@3.30
            (Information: Year 2016)","(Floor ro Floor Height)
B/F: 10 ft -10.5 in.
G/F: 17 ft -0.5 in.
M/F: 10 ft -2 in.
1-2/F: 10 ft -2 in.
3-15/F: 9 ft -10 in.
16-19/F: 16 ft -6 in.
20/F & 22/F: 10 ft 
21/F: 11 ft
R/F: 8 ft -2 in.","Not including Basement, Ground Floor and Mezzanine",Central,"MTR, Ferry, and Bus",Hongkong Land Holdings Limited,Monday To Friday 08:30 - 18:30Saturday 08:30 - 14:00Sunday  -,,B,
New East Ocean Centre,9 Science Museum Road,https://www.midlandici.com.hk/ics/property/building/details/B000022082/New-East-Ocean-Centre?lang=english,Commercial,1991,Spin-Off,17,6,2,,,,"@6.10
            (Information: Year 2024)",8.5 ft,"Not including Basement Level 3, Basement Level 2, Basement Level 1, Ground Floor and Mezzanine Floor",Central,,精英,Monday To Friday 08:00 - 18:00Saturday 08:00 - 14:00Sunday  -,"Approx. 324,500 sq.ft.",A,
